,2019-11,2019-12,2020-01,2020-02,2020-03,2019-11,2019-12,2020-01,2020-02,2020-03
Paro registrado,-0.37,-2.19,-1.78,-2.24,5.01,-1.68,-1.21,-0.97,-1.31,9.01
Contratos,-1.27,7.17,1.33,9.65,-30.55,-5.52,1.8,-5.02,1.51,-26.51
Afiliados,2.31,1.62,2.04,2.66,,2.88,1.83,1.66,2.3,
Afiliados asalariados,2.99,2.16,2.67,3.34,,3.32,2.13,1.9,2.62,
Afiliados no asalariados,-0.46,-0.58,-0.52,-0.14,,0.76,0.44,0.52,0.76,
IPC,0.4,0.9,1.1,0.8,-0.1,0.4,0.8,1.1,0.7,0.0
Matriculación de vehículos,-3.3,9.87,8.87,-5.35,-70.91,3.61,4.78,-6.46,-2.9,-64.67
Indicador de clima industrial,-23.97,-23.09,-12.88,-7.22,-8.05,-3.6,1.36,-1.27,1.29,-5.45
Empresas inscritas en la Seguridad social,0.02,-0.59,0.04,0.33,-5.7,0.61,-0.46,-0.65,-0.04,-7.41
Personas físicas inscritas en la Seguridad social,-0.96,-1.92,-0.68,-0.19,-9.51,0.18,-1.76,-2.19,-0.92,-12.98
Personas jurídicas inscritas en la Seguridad social,0.7,0.33,0.52,0.68,-3.08,0.87,0.36,0.29,0.48,-4.04
Tráfico aéreo de pasajeros,7.52,7.33,10.89,3.99,-63.97,3.59,3.68,2.36,3.94,-59.35
