Cantabria,,,,,Indicadores,España,,,,
2019 – 2T,2019 – 3T,2019 – 4T,2020 – 1T,2020 – 2T,-,2019 – 2T,2019 – 3T,2019 – 4T,2020 – 1T,2020 – 2T
,,,,,Economía,,,,,
,,,,,Deuda,,,,,
,,,,,Deuda sobre el PIB,,,,,
,,,,,Empresas y establecimientos,,,,,
-1.69133192389007,-0.547945205479461,-1.17565698478561,-3.08464849354376,-27.6702508960573,Índice de confianza empresarial,-1.91881918819188,-0.881057268722463,-2.09111277072443,-1.43396226415095,-28.1414597441685
,,,,,Mercado de Trabajo,,,,,
,,,,,EPA. Ocupados,,,,,
,,,,,EPA. Parados,,,,,
,,,,,EPA. Tasa de Empleo,,,,,
,,,,,EPA. Tasa de paro,,,,,
,,,,,Servicios,,,,,
,,,,,Transporte de mercancías por carretera,,,,,
