 - Indicadores,Cantabria - 2019-4,Cantabria - 2020-1,Cantabria - 2020-2,Cantabria - 2020-3,Cantabria - 2020-4,Cantabria - 2021-1,Cantabria - 2021-2,Categoria,España - 2019-4,España - 2020-1,España - 2020-2,España - 2020-3,España - 2020-4,España - 2021-1,España - 2021-2
PIB índices de volumen,1.56,-3.9,-17.3,-6.4,-6.2,,,Economía,1.68,-4.28,-21.6,-8.55,-8.92,,
Deuda pública CC.AA,0.52,6.78,10.36,7.71,4.91,,,Economía,0.57,0.46,1.68,1.27,2.9,,
Deuda pública CC.AA sobre el PIB,22.5,24.4,26.3,26.2,26.2,,,Economía,23.7,24.1,26.1,26.3,27.1,,
Índice de confianza empresarial,,,-27.67,-27.96,-14.98,-10.66,28.05,Empresas y establecimientos,,,-28.14,-29.26,-19.53,-16.31,20.21
Deudores concursados,300.0,42.86,-7.14,100.0,5.0,,,Empresas y establecimientos,32.83,-22.31,-41.34,1.57,5.84,,
Empresas concursadas,80.0,44.44,33.33,22.22,0.0,,,Empresas y establecimientos,20.86,-19.77,-38.18,-1.44,0.29,,
Ocupados EPA,1.28,0.8,-9.94,-3.18,-3.02,,,Mercado de Trabajo,2.06,1.08,-6.05,-3.51,-3.12,,
Parados EPA,18.92,-9.7,45.04,38.24,2.92,,,Mercado de Trabajo,-3.4,-1.23,4.25,15.82,16.54,,
Tasa de actividad EPA,1.44,-0.47,-2.91,0.02,-1.61,,,Mercado de Trabajo,0.13,-0.17,-3.2,-0.89,-0.55,,
Tasa de empleo EPA,0.46,0.19,-5.09,-1.79,-1.76,,,Mercado de Trabajo,0.5,0.02,-3.48,-2.11,-1.83,,
Tasa de paro EPA,1.5,-1.11,4.75,3.29,0.61,,,Mercado de Trabajo,-0.67,-0.29,1.31,2.34,2.35,,
Transporte de mercancías por carretera,37.95,-22.68,-41.97,-28.9,-3.52,,,Servicios,2.7,-2.25,-11.24,-5.58,-0.22,,
Pernoctaciones de los residentes en España,-12.25,-34.86,-82.38,3.1,-66.33,,,Servicios,-0.96,-22.34,-76.67,-22.62,-50.54,,
Gasto turístico de los residentes en España,-1.55,-32.18,-88.23,8.6,-71.77,,,Servicios,0.93,-22.56,-88.96,-44.12,-70.63,,
Turistas internacionales,22.96,-54.59,,-65.56,-73.19,,,Servicios,0.04,-25.63,-99.14,-79.03,-87.16,,
Gasto de turistas internacionales,-2.03,-43.0,,-75.01,-68.2,,,Servicios,1.85,-23.84,-99.46,-82.34,-88.99,,
Índice de precios de vivienda,2.1,1.0,1.3,1.4,1.2,,,Construcción,3.6,3.2,2.1,1.7,1.5,,
Balanza comercial (% PIB),1.5,5.35,4.9,5.12,5.51,,,Sector exterior,-2.18,-2.58,0.04,-1.22,-0.8,,
Transacciones inmobiliarias,3.9,-6.58,-43.5,19.64,12.39,,,Construcción,2.63,-16.15,-47.25,6.81,1.07,,
